"images.alt","images.src","images.text","index","url"
"Product Details","http://ecx.images-amazon.com/images/I/41PS6nLtWVL._SL246_SX190_CR0,0,190,246_.jpg","","1","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41jAiix-3hL._SL246_SX190_CR0,0,190,246_.jpg","","2","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41T+HZfQPsL._SL246_SX190_CR0,0,190,246_.jpg","","3","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41bQvVA8niL._SL246_SX190_CR0,0,190,246_.jpg","","4","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41+QmV0qpgL._SL246_SX190_CR0,0,190,246_.jpg","","5","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41nlIQVjxPL._SL246_SX190_CR0,0,190,246_.jpg","","6","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41vG4aZu01L._SL246_SX190_CR0,0,190,246_.jpg","","7","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/31HR6yM9+dL._SL246_SX190_CR0,0,190,246_.jpg","","8","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41a2ew-yx6L._SL246_SX190_CR0,0,190,246_.jpg","","9","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41e3n4R8cUL._SL246_SX190_CR0,0,190,246_.jpg","","10","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41BuAlCVpzL._SL246_SX190_CR0,0,190,246_.jpg","","11","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41hMJ6tJzHL._SL246_SX190_CR0,0,190,246_.jpg","","12","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/417D8drE+mL._SL246_SX190_CR0,0,190,246_.jpg","","13","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41R8M4LnL0L._SL246_SX190_CR0,0,190,246_.jpg","","14","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/414s9778w3L._SL246_SX190_CR0,0,190,246_.jpg","","15","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41IM7a59PZL._SL246_SX190_CR0,0,190,246_.jpg","","16","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
"Product Details","http://ecx.images-amazon.com/images/I/41OLl37DzQL._SL246_SX190_CR0,0,190,246_.jpg","","17","http://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=jeans"
